condition,protocol,trial,stream_id,completion_ms,spread_ms
baseline,tcp,29,0,51.83212501287926,0.015582991181872785
baseline,tcp,29,1,51.83875000511762,0.015582991181872785
baseline,tcp,29,2,51.843458000803366,0.015582991181872785
baseline,tcp,29,3,51.84770800406113,0.015582991181872785
baseline,tcp,30,0,46.876332999090664,4.586916998960078
baseline,tcp,30,1,49.18008299137,4.586916998960078
baseline,tcp,30,2,51.461499999277294,4.586916998960078
baseline,tcp,30,3,51.46324999805074,4.586916998960078
baseline,tcp,31,0,51.174042004277,0.015832993085496128
baseline,tcp,31,1,51.18120899714995,0.015832993085496128
baseline,tcp,31,2,51.18566700548399,0.015832993085496128
baseline,tcp,31,3,51.189874997362494,0.015832993085496128
baseline,tcp,32,0,51.48520800867118,2.1669169946108013
baseline,tcp,32,1,51.494500003173016,2.1669169946108013
baseline,tcp,32,2,53.645042004063725,2.1669169946108013
baseline,tcp,32,3,53.65212500328198,2.1669169946108013
baseline,tcp,33,0,55.22699998982716,0.016291000065393746
baseline,tcp,33,1,55.234083003597334,0.016291000065393746
baseline,tcp,33,2,55.23883299611043,0.016291000065393746
baseline,tcp,33,3,55.24329098989256,0.016291000065393746
baseline,tcp,34,0,48.72974999307189,5.288208005367778
baseline,tcp,34,1,50.784915991243906,5.288208005367778
baseline,tcp,34,2,54.01374999200925,5.288208005367778
baseline,tcp,34,3,54.01795799843967,5.288208005367778
baseline,tcp,35,0,48.88091700559016,1.1489579919725657
baseline,tcp,35,1,50.02583400346339,1.1489579919725657
baseline,tcp,35,2,50.02824999974109,1.1489579919725657
baseline,tcp,35,3,50.02987499756273,1.1489579919725657
baseline,tcp,36,0,48.6958749970654,2.1843330032425
baseline,tcp,36,1,50.87495800398756,2.1843330032425
baseline,tcp,36,2,50.87812499550637,2.1843330032425
baseline,tcp,36,3,50.8802080003079,2.1843330032425
baseline,tcp,37,0,49.066791994846426,5.399333007517271
baseline,tcp,37,1,51.39183299615979,5.399333007517271
baseline,tcp,37,2,51.39466699620243,5.399333007517271
baseline,tcp,37,3,54.4661250023637,5.399333007517271
baseline,tcp,38,0,49.9323749972973,4.212125000776723
baseline,tcp,38,1,51.84679199010134,4.212125000776723
baseline,tcp,38,2,54.14145899703726,4.212125000776723
baseline,tcp,38,3,54.144499998074025,4.212125000776723
baseline,tcp,39,0,49.50529200141318,4.671749993576668
baseline,tcp,39,1,49.51012499805074,4.671749993576668
baseline,tcp,39,2,49.51233399333432,4.671749993576668
baseline,tcp,39,3,54.17704199498985,4.671749993576668
baseline,quic,0,0,47.315417003119364,9.05758299631998
baseline,quic,0,8,53.03787499724422,9.05758299631998
baseline,quic,0,4,56.282707999343984,9.05758299631998
baseline,quic,0,12,56.372999999439344,9.05758299631998
baseline,quic,1,0,48.102333006681874,7.466916998964734
baseline,quic,1,8,50.74070800037589,7.466916998964734
baseline,quic,1,4,52.811708010267466,7.466916998964734
baseline,quic,1,12,55.56925000564661,7.466916998964734
baseline,quic,2,0,49.15795799752232,6.769041996449232
baseline,quic,2,8,49.989999999525025,6.769041996449232
baseline,quic,2,4,53.90533299942035,6.769041996449232
baseline,quic,2,12,55.92699999397155,6.769041996449232
baseline,quic,3,0,64.54033400223125,2.500290996977128
baseline,quic,3,8,64.69145900337026,2.500290996977128
baseline,quic,3,4,66.95045900414698,2.500290996977128
baseline,quic,3,12,67.04062499920838,2.500290996977128
baseline,quic,4,0,49.18804099725094,6.462042001658119
baseline,quic,4,8,49.41974999383092,6.462042001658119
baseline,quic,4,4,55.46074999438133,6.462042001658119
baseline,quic,4,12,55.650082998909056,6.462042001658119
baseline,quic,5,0,58.43704199651256,2.199708003900014
baseline,quic,5,8,58.57049999758601,2.199708003900014
baseline,quic,5,4,60.51650000154041,2.199708003900014
baseline,quic,5,12,60.636750000412576,2.199708003900014
baseline,quic,6,0,53.20041600498371,5.583999998634681
baseline,quic,6,8,56.36237500584684,5.583999998634681
baseline,quic,6,4,58.58783300209325,5.583999998634681
baseline,quic,6,12,58.78441600361839,5.583999998634681
baseline,quic,7,0,50.64979199960362,6.29566700081341
baseline,quic,7,8,50.88808399159461,6.29566700081341
baseline,quic,7,4,56.72949999279808,6.29566700081341
baseline,quic,7,12,56.94545900041703,6.29566700081341
baseline,quic,8,0,50.14641600428149,5.77695899119135
